species_id,scientific_name,common_name,family,edibility_status,toxicity_level
1,Schizophyllum commune,splitgill mushroom,,unknown,unknown
2,Armillaria,honey mushrooms,,unknown,unknown
3,Trametes versicolor,turkey-tail,,unknown,unknown
4,Agaricomycetes,"Mushrooms, Bracket Fungi, Puffballs, and Allies",,unknown,unknown
5,Cynomorium coccineum,Red Thumb,,unknown,unknown
6,Phallus impudicus,common stinkhorn,,unknown,unknown
7,Marasmius oreades,fairy ring marasmius,,unknown,unknown
8,Clathrus ruber,red-cage fungus,,unknown,unknown
9,Agaricales,Common Gilled Mushrooms and Allies,,unknown,unknown
10,Amanita muscaria,Fly Agaric,,poisonous,high
11,Lactarius deliciosus,saffron milkcap,,edible,low
12,Amanita caesarea,Caesar's mushroom,,unknown,unknown
13,Macrolepiota procera,Parasol,,unknown,unknown
14,Agaricaceae,Field Mushrooms and Allies,,unknown,unknown
15,Mycenaceae,,,unknown,unknown
16,Sarcoscypha,Elf Cups,,unknown,unknown
17,Marasmius,Pinwheels and Parachute Mushrooms,,unknown,unknown
18,Basidiomycota,Basidiomycete Fungi,,unknown,unknown
19,Pholiota highlandensis,Bonfire Scalycap,,unknown,unknown
20,Panaeolus foenisecii,Mower's Mushroom,,unknown,unknown
21,Leccinellum corsicum,,,unknown,unknown
22,Hexagonia nitida,,,unknown,unknown
23,Scleroderma polyrhizum,Many-rooted Earthball,,unknown,unknown
24,Fuscoporia torulosa,Tufted Bracket,,unknown,unknown
25,Amanita ponderosa,Heavy Amidella,,unknown,unknown
26,Entoloma cistophilum,,,unknown,unknown
27,Pisolithus,,,unknown,unknown
28,Pisolithus arhizus,Dyeball,,unknown,unknown
29,Agaricus,field and button mushrooms,,unknown,unknown
30,Laetiporus sulphureus,chicken of the woods,,unknown,unknown
31,Xerocomus,,,unknown,unknown
32,Agaricus bitorquis,Pavement Mushroom,,unknown,unknown
33,Mycena haematopus,Bleeding Fairy Helmet,,unknown,unknown
34,Omphalotus olearius,European jack-o'-lantern,,poisonous,high
35,Lactarius chrysorrheus,Yellowdrop Milkcap,,unknown,unknown
36,Fungi,Fungi Including Lichens,,unknown,unknown
37,Amanitaceae,amanita mushrooms and allies,,unknown,unknown
38,Volvopluteus gloiocephalus,Stubble Rosegill,,unknown,unknown
39,Amanita,amanita mushrooms,,unknown,unknown
40,Agaricus campestris,Meadow Mushroom,,edible,low
41,Parasola conopilea,conical brittlestem,,unknown,unknown
42,Inocybe,Fiber Caps,,unknown,unknown
43,Hygrophorus glutinifer,Snakeskin Woodwax,,unknown,unknown
44,Pluteus,Shields,,unknown,unknown
45,Bolbitius titubans,yellow fieldcap,,unknown,unknown
46,Pleurotus eryngii,King Trumpet Mushroom,,edible,low
47,Hygrocybe,Hygrocybe subsect. Hygrocybe,,unknown,unknown
48,Suillellus luridus,Lurid Bolete,,unknown,unknown
49,Lycoperdon,,,unknown,unknown
50,Cerioporus squamosus,Dryad's Saddle,,unknown,unknown
51,Oudemansiella mucida,porcelain mushroom,,unknown,unknown
52,Vaginatae,Amanita sect. Vaginatae,,unknown,unknown
53,Calocybe gambosa,St. George's Mushroom,,unknown,unknown
54,Montagnea radiosa,,,unknown,unknown
55,Omphalotus,jack-o'-lantern mushrooms,,unknown,unknown
56,Armillaria ostoyae,Honey Mushroom,,unknown,unknown
57,Armillaria mellea,Honey Mushroom,,unknown,unknown
58,Mycena pseudocorticola,Steely Bonnet,,unknown,unknown
59,Hypholoma fasciculare,Sulphur Tuft,,unknown,unknown
60,Suillus bovinus,Bovine Jack,,unknown,unknown
61,Hypsizygus ulmarius,Elm Mushroom,,unknown,unknown
62,Gliophorus,waxcaps,,unknown,unknown
63,Pleurotus,Oyster Mushrooms,,unknown,unknown
64,Agaricus bisporus,White Button Mushroom,,unknown,unknown
65,Pluteaceae,,,unknown,unknown
66,Agaricus xanthodermus,Yellow Stainer,,unknown,unknown
67,Polyporaceae,Bracket Fungi,,unknown,unknown
68,Sparassis,cauliflower mushrooms,,unknown,unknown
69,Russula,brittlegills,,unknown,unknown
70,Agaricus litoralis,coastal mushroom,,unknown,unknown
71,Amanita citrina,False Death-cap,,unknown,unknown
72,Panus lecomtei,Hairy Oyster Mushroom,,unknown,unknown
73,Agaricus langei,Scaly Wood Mushroom,,unknown,unknown
74,Volvariella volvacea,paddy straw mushroom,,unknown,unknown
75,Coprinopsis lagopus,hare's foot inkcap,,unknown,unknown
76,Agaricus arvensis,Horse Mushroom,,unknown,unknown
77,Agaricus sylvaticus,Blushing Wood Mushroom,,unknown,unknown
78,Oudemansiella radicata,rooting shank,,unknown,unknown
79,Pleurotus ostreatus,Oyster Mushroom,,edible,low
80,Megacollybia platyphylla,European Platterful Mushroom,,unknown,unknown
81,Pluteus cervinus,Deer Mushroom,,unknown,unknown
82,Lyophyllum decastes,Fried Chicken Mushroom,,unknown,unknown
83,Boletales,boletes and allies,,unknown,unknown
84,Clitopilus prunulus,Sweetbread Mushroom,,unknown,unknown
85,Hydnum,hedgehog mushrooms,,unknown,unknown
86,Phyllotopsis nidulans,Stinking Orange Oyster,,unknown,unknown
87,Agaricus brunneolus,Lilac Mushroom,,unknown,unknown
88,Stereum,,,unknown,unknown
89,Laccaria,Deceivers,,unknown,unknown
90,Morchella,true morels,,unknown,unknown
91,Auricularia mesenterica,Tripe Fungus,,unknown,unknown
92,Psathyrellaceae,Brittlestems and Allies,,unknown,unknown
93,Lepiota cristata,Stinking Dapperling,,unknown,unknown
94,Russulales,,,unknown,unknown
95,Onnia tomentosa,Woolly Velvet Polypore,,unknown,unknown
96,Leucocoprinus cepistipes,onion-stalk parasol,,unknown,unknown
97,Amanita,Amanita subsect. Amanita,,unknown,unknown
98,Panaeolus antillarum,,,unknown,unknown
99,Agaricus crocodilinus,Macro Mushroom,,unknown,unknown
100,Mycena,Bonnets,,unknown,unknown
101,Hygrophorus chrysodon,Gold Dust Waxy Cap,,unknown,unknown
102,Hygrophorus eburneus,Cowboy's Handkerchief,,unknown,unknown
103,Hygrophorus cossus,Goath Moth Woodwax,,unknown,unknown
104,Lichenomphalia velutina,,,unknown,unknown
105,Hygrocybe,Waxcaps,,unknown,unknown
106,Agaricus augustus,The Prince,,unknown,unknown
107,Calonarius,Chalkland Webcaps,,unknown,unknown
108,Lactarius tesquorum,,,unknown,unknown
109,Stereum hirsutum,hairy curtain crust,,unknown,unknown
110,Russula torulosa,Brawny Brittlegill,,unknown,unknown
111,Collybia nuda,Blewit,,unknown,unknown
112,Entoloma,Pinkgills,,unknown,unknown
113,Clitocybe,Funnels,,unknown,unknown
114,Infundibulicybe squamulosa,,,unknown,unknown
115,Clitocybe nebularis,Cloudy Clitocybe,,unknown,unknown
116,Psathyrella,Brittlestems,,unknown,unknown
117,Candolleomyces candolleanus,Pale Brittlestem,,unknown,unknown
118,Coprinellus domesticus,Firerug Inkcap,,unknown,unknown
119,Coprinellus,,,unknown,unknown
120,Coprinus comatus,Shaggy Mane,,unknown,unknown
121,Lacrymaria lacrymabunda,weeping widow,,unknown,unknown
122,Hebeloma crustuliniforme,Poison Pie,,unknown,unknown
123,Hebeloma cistophilum,,,unknown,unknown
124,Hebeloma sarcophyllum,,,unknown,unknown
125,Melanoleuca decembris,,,unknown,unknown
126,Suillus collinitus,,,unknown,unknown
127,Leccinellum lepidum,neat bolete,,unknown,unknown
128,Amanita gioiosa,Pebbly Soil Amanita,,unknown,unknown
129,Lyophyllum,Domecaps,,unknown,unknown
130,Hemileccinum impolitum,Iodine Bolete,,unknown,unknown
131,Agaricus sylvicola,Wood Mushroom,,unknown,unknown
132,Gymnopus dryophilus,Oak-loving Gymnopus,,unknown,unknown
133,Gymnopilus suberis,,,unknown,unknown
134,Pseudoclitocybe cyathiformis,The Goblet,,unknown,unknown
135,Lycoperdon molle,Smooth Puffball,,unknown,unknown
136,Amanita curtipes,,,unknown,unknown
137,Agaricus dulcidulus,Rosy Wood Mushroom,,unknown,unknown
138,Chlorophyllum brunneum,Shaggy Parasol,,unknown,unknown
139,Gymnopilus,rustgills and gyms,,unknown,unknown
140,Agaricus cupreobrunneus,,,unknown,unknown
141,Gymnopilus junonius,Spectacular Rustgill,,unknown,unknown
142,Pholiota spumosa,Slender Pholiota,,unknown,unknown
143,Lycoperdon perlatum,common puffball,,unknown,unknown
144,Lycoperdaceae,puffballs,,unknown,unknown
145,Abortiporus biennis,Blushing Rosette,,unknown,unknown
146,Laccaria laccata,deceiver,,unknown,unknown
147,Pholiota,Scalycaps,,unknown,unknown
148,Terana coerulea,Cobalt Crust,,unknown,unknown
149,Scleroderma meridionale,,,unknown,unknown
150,Galactinia saniosa,,,unknown,unknown
151,Ionopezia gerardii,mull disco,,unknown,unknown
152,Mannia androgyna,,,unknown,unknown
153,Xylodon flaviporus,,,unknown,unknown
154,Mutinus elegans,devil's dipstick,,unknown,unknown
155,Agaricus moelleri,Inky Agaricus,,unknown,unknown
156,Leucocoprinus cretaceus,white chalk mushroom,,unknown,unknown
157,Cryptomarasmius corbariensis,Oliveleaf Crypto,,unknown,unknown
158,Trichaptum biforme,violet-toothed polypore,,unknown,unknown
159,Agaricineae,,,unknown,unknown
160,Cortinarius trivialis,girdled webcap,,unknown,unknown
161,Cortinariaceae,Webcaps,,unknown,unknown
162,Gliophorus psittacinus,Parrot Mushroom,,unknown,unknown
163,Asterophora parasitica,Silky Piggyback,,unknown,unknown
164,Hygrophorus,Woodwaxes,,unknown,unknown
165,Calocera viscosa,Jelly-antler,,unknown,unknown
166,Strophariaceae,,,unknown,unknown
167,Paragalactinia succosella,,,unknown,unknown
168,Psilocybe,Psilocybe Mushrooms,,unknown,unknown
169,Neoboletus erythropus,Dotted Stem Bolete,,unknown,unknown
170,Lentinula edodes,Shiitake,,unknown,unknown
171,Omphalotus illudens,Eastern American jack-o'-lantern,,unknown,unknown
172,Pluteus exilis,Western Deer Mushroom,,unknown,unknown
173,Vibrissea truncorum,water club mushroom,,unknown,unknown
174,Pleurotus populinus,aspen oyster mushroom,,unknown,unknown
175,Cyclocybe cylindracea,Poplar Fieldcap,,unknown,unknown
176,Armillaria novae-zelandiae,Austral Honey Mushroom,,unknown,unknown
177,Agaricus bohusii,medusa mushroom,,unknown,unknown
178,Hortiboletus rubellus,Ruby Bolete,,unknown,unknown
179,Collybia personata,Field Blewit,,unknown,unknown
180,Lepiota,,,unknown,unknown
181,Heimiomyces tenuipes,,,unknown,unknown
182,Physalacriaceae,,,unknown,unknown
183,Inocybaceae,Fibercaps and Allies,,unknown,unknown
184,Psilocybe semilanceata,Liberty Cap,,unknown,unknown
185,Stropharia,Roundheads,,unknown,unknown
186,Tricholoma,Knights,,unknown,unknown
187,Trametes,Turkey-tails and allies,,unknown,unknown
188,Cupressus,cypresses,,unknown,unknown
189,Sclerodermataceae,,,unknown,unknown
190,Tricholoma sulphureum,Sulphur Knight,,unknown,unknown
191,Tubaria,Twiglets,,unknown,unknown
192,Leratiomyces ceres,Chip Cherries,,unknown,unknown
193,Geoglossum,Earth Tongues,,unknown,unknown
194,Hericium erinaceus,lion's-mane mushroom,,unknown,unknown
195,Stereaceae,,,unknown,unknown
