obs_id,species_id,location_id,time_id,edible,observation_count,media_count
478790,1,1,1,,1,1
478794,2,2,2,,1,1
495433,3,3,3,,1,1
547921,4,4,4,,1,1
582299,5,5,5,,1,1
610697,1,6,6,,1,1
761021,6,7,7,,1,1
790753,7,8,8,,1,1
812047,8,9,9,,1,1
819137,1,10,9,,1,1
841567,9,11,10,,1,1
841573,4,12,11,,1,1
845113,10,13,12,0.0,1,1
850971,11,14,13,1.0,1,1
851024,11,15,13,1.0,1,1
911733,1,16,14,,1,1
918786,12,17,15,,1,1
1030486,13,18,16,,1,1
1103815,14,19,17,,1,1
1103876,15,20,18,,1,1
1103877,4,20,18,,1,1
1359291,16,21,19,,1,1
1457639,5,22,20,,1,1
1467987,17,23,21,,1,1
1561196,18,24,22,,1,1
1630571,19,25,23,,1,1
1630576,20,26,24,,1,1
1630582,10,27,25,0.0,1,1
1630591,21,28,25,,1,1
1630598,22,27,25,,1,1
1630608,23,29,26,,1,1
1630628,24,27,27,,1,1
1630630,25,30,28,,1,1
1630647,26,27,25,,1,1
1630657,27,27,23,,1,1
1630658,28,27,25,,1,1
1699849,29,31,29,,1,1
1731396,11,32,30,1.0,1,1
1895525,4,33,31,,1,1
1902282,30,34,32,,1,1
1954368,31,35,33,,1,1
2129530,9,36,34,,1,1
2129532,9,36,35,,1,1
2129575,32,37,36,,1,1
2129577,32,38,37,,1,1
2154819,33,39,38,,1,1
2316274,9,40,39,,1,1
2316277,4,40,39,,1,1
2338599,29,41,40,,1,1
2356856,2,42,41,,1,1
2356857,2,43,41,,1,1
2380178,4,44,42,,1,1
2424694,30,45,43,,1,1
2430279,4,36,44,,1,1
2445045,9,46,45,,1,1
2509481,1,47,46,,1,1
2509482,3,48,46,,1,1
2556789,1,49,47,,1,1
2713119,18,50,48,,1,1
2718316,18,51,48,,1,1
2735342,14,52,48,,1,1
2758568,9,53,40,,1,1
3250293,9,54,49,,1,1
3250993,9,55,50,,1,1
3251131,34,56,49,0.0,1,1
3294342,1,57,51,,1,1
3302980,35,58,30,,1,1
3303011,9,59,30,,1,1
3303073,9,60,52,,1,1
3338704,9,61,53,,1,1
3376946,4,62,54,,1,0
3376947,4,63,54,,1,0
3385546,9,64,55,,1,1
3631570,9,65,56,,1,1
4103536,2,66,57,,1,1
4296272,3,67,58,,1,1
4332312,9,68,59,,1,1
4337848,36,69,60,,1,0
4393478,9,70,61,,1,1
4394342,30,71,62,,1,1
4426547,37,72,63,,1,1
4438977,9,73,64,,1,1
4496376,38,74,65,,1,1
4504559,9,75,66,,1,1
4530577,39,76,67,,1,1
4554587,34,77,68,0.0,1,1
4578412,12,78,69,,1,1
4587636,40,79,70,1.0,1,1
4590788,9,80,63,,1,1
4643484,9,81,71,,1,1
4647473,9,82,72,,1,1
4672338,34,83,71,0.0,1,1
4672626,41,84,73,,1,1
4672669,42,85,74,,1,1
4672686,43,86,30,,1,1
4673065,9,87,75,,1,1
4680631,40,88,76,1.0,1,1
4683202,40,89,77,1.0,1,1
4684268,9,90,78,,1,1
4684311,4,91,78,,1,1
4684343,44,92,78,,1,1
4705588,45,93,79,,1,1
4722883,1,94,80,,1,1
4722889,9,95,81,,1,1
4733217,9,96,82,,1,1
4736331,38,97,83,,1,1
4767493,46,98,84,1.0,1,1
4807345,47,99,85,,1,1
4807492,9,100,85,,1,1
4830119,39,101,86,,1,1
4830120,38,102,87,,1,1
4830121,18,101,86,,1,1
4830122,18,101,86,,1,1
4834493,38,103,88,,1,1
4836715,48,104,88,,1,1
4847169,36,105,88,,1,1
4922842,14,106,89,,1,1
4923421,4,107,90,,1,1
4985140,49,108,91,,1,1
5056586,9,109,92,,1,1
5387434,36,110,93,,1,0
5570295,50,111,94,,1,1
