species_name,season,region_pt,observation_count
Abortiporus biennis,autumn,sul,1
Abortiporus biennis,summer,sul,1
Agaricaceae,autumn,norte,312
Agaricaceae,autumn,sul,217
Agaricaceae,spring,norte,18
Agaricaceae,spring,sul,22
Agaricaceae,summer,norte,32
Agaricaceae,summer,sul,13
Agaricaceae,unknown,norte,3
Agaricaceae,unknown,sul,1
Agaricaceae,winter,norte,22
Agaricaceae,winter,sul,81
Agaricales,autumn,norte,4302
Agaricales,autumn,sul,3008
Agaricales,spring,norte,573
Agaricales,spring,sul,597
Agaricales,summer,norte,452
Agaricales,summer,sul,124
Agaricales,unknown,norte,17
Agaricales,unknown,sul,16
Agaricales,winter,norte,1266
Agaricales,winter,sul,2821
Agaricineae,autumn,norte,1
Agaricineae,winter,norte,1
Agaricineae,winter,sul,1
Agaricomycetes,autumn,norte,1001
Agaricomycetes,autumn,sul,668
Agaricomycetes,spring,norte,253
Agaricomycetes,spring,sul,218
Agaricomycetes,summer,norte,190
Agaricomycetes,summer,sul,85
Agaricomycetes,unknown,norte,26
Agaricomycetes,unknown,sul,9
Agaricomycetes,winter,norte,381
Agaricomycetes,winter,sul,719
Agaricus,autumn,norte,996
Agaricus,autumn,sul,815
Agaricus,spring,norte,81
Agaricus,spring,sul,116
Agaricus,summer,norte,74
Agaricus,summer,sul,29
Agaricus,unknown,norte,4
Agaricus,unknown,sul,6
Agaricus,winter,norte,105
Agaricus,winter,sul,343
Agaricus arvensis,autumn,norte,79
Agaricus arvensis,autumn,sul,46
Agaricus arvensis,spring,norte,20
Agaricus arvensis,spring,sul,6
Agaricus arvensis,summer,norte,19
Agaricus arvensis,unknown,norte,2
Agaricus arvensis,unknown,sul,2
Agaricus arvensis,winter,norte,1
Agaricus arvensis,winter,sul,16
Agaricus augustus,autumn,sul,1
Agaricus bisporus,autumn,norte,22
Agaricus bisporus,autumn,sul,24
Agaricus bisporus,spring,norte,10
Agaricus bisporus,spring,sul,4
Agaricus bisporus,summer,norte,1
Agaricus bisporus,summer,sul,4
Agaricus bisporus,unknown,norte,1
Agaricus bisporus,winter,norte,6
Agaricus bisporus,winter,sul,8
Agaricus bitorquis,autumn,norte,73
Agaricus bitorquis,autumn,sul,52
Agaricus bitorquis,spring,norte,29
Agaricus bitorquis,spring,sul,21
Agaricus bitorquis,summer,norte,14
Agaricus bitorquis,summer,sul,3
Agaricus bitorquis,unknown,norte,1
Agaricus bitorquis,unknown,sul,3
Agaricus bitorquis,winter,norte,6
Agaricus bitorquis,winter,sul,15
Agaricus bohusii,autumn,sul,2
Agaricus brunneolus,autumn,norte,5
Agaricus brunneolus,autumn,sul,2
Agaricus brunneolus,winter,sul,2
Agaricus campestris,autumn,norte,349
Agaricus campestris,autumn,sul,264
Agaricus campestris,spring,norte,46
Agaricus campestris,spring,sul,36
Agaricus campestris,summer,norte,26
Agaricus campestris,summer,sul,7
Agaricus campestris,unknown,norte,3
Agaricus campestris,unknown,sul,6
Agaricus campestris,winter,norte,33
Agaricus campestris,winter,sul,84
Agaricus comtulus,autumn,norte,2
Agaricus crocodilinus,autumn,norte,21
Agaricus crocodilinus,autumn,sul,4
Agaricus crocodilinus,spring,norte,8
Agaricus crocodilinus,spring,sul,3
Agaricus crocodilinus,summer,norte,14
Agaricus crocodilinus,summer,sul,1
Agaricus crocodilinus,winter,sul,3
Agaricus cupreobrunneus,winter,sul,1
Agaricus dulcidulus,winter,sul,1
Agaricus impudicus,autumn,norte,11
Agaricus impudicus,autumn,sul,8
Agaricus impudicus,summer,norte,2
Agaricus impudicus,summer,sul,1
Agaricus impudicus,winter,norte,1
Agaricus impudicus,winter,sul,1
Agaricus incultorum,autumn,norte,7
Agaricus incultorum,autumn,sul,14
Agaricus incultorum,spring,norte,2
Agaricus incultorum,spring,sul,1
Agaricus incultorum,winter,norte,2
Agaricus incultorum,winter,sul,12
Agaricus langei,autumn,norte,10
Agaricus langei,autumn,sul,2
Agaricus langei,winter,sul,2
Agaricus litoralis,autumn,norte,6
Agaricus litoralis,autumn,sul,1
Agaricus litoralis,spring,norte,11
Agaricus litoralis,spring,sul,3
Agaricus litoralis,summer,norte,5
Agaricus litoralis,summer,sul,1
Agaricus litoralis,unknown,norte,1
Agaricus litoralis,winter,sul,2
Agaricus matrum,autumn,norte,1
Agaricus moelleri,autumn,norte,68
Agaricus moelleri,autumn,sul,33
Agaricus moelleri,spring,norte,1
Agaricus moelleri,summer,norte,4
Agaricus moelleri,winter,norte,10
Agaricus moelleri,winter,sul,4
Agaricus moelleroides,autumn,norte,3
Agaricus placomyces,autumn,norte,7
Agaricus placomyces,autumn,sul,3
Agaricus placomyces,spring,norte,1
Agaricus placomyces,summer,norte,1
Agaricus pseudopratensis,autumn,norte,2
Agaricus pseudopratensis,autumn,sul,1
Agaricus pseudopratensis,spring,norte,2
Agaricus pseudopratensis,spring,sul,1
Agaricus pseudopratensis,winter,norte,1
Agaricus pseudopratensis,winter,sul,1
Agaricus subrufescens,autumn,sul,2
Agaricus sylvaticus,autumn,norte,79
Agaricus sylvaticus,autumn,sul,63
Agaricus sylvaticus,spring,norte,2
Agaricus sylvaticus,summer,norte,7
Agaricus sylvaticus,unknown,norte,1
Agaricus sylvaticus,unknown,sul,2
Agaricus sylvaticus,winter,norte,20
Agaricus sylvaticus,winter,sul,13
Agaricus sylvicola,autumn,norte,49
Agaricus sylvicola,autumn,sul,26
Agaricus sylvicola,spring,norte,5
Agaricus sylvicola,spring,sul,7
Agaricus sylvicola,summer,norte,11
Agaricus sylvicola,unknown,norte,1
Agaricus sylvicola,unknown,sul,1
Agaricus sylvicola,winter,norte,4
Agaricus sylvicola,winter,sul,9
Agaricus xanthodermus,autumn,norte,106
Agaricus xanthodermus,autumn,sul,95
Agaricus xanthodermus,spring,norte,10
Agaricus xanthodermus,spring,sul,7
Agaricus xanthodermus,summer,norte,10
Agaricus xanthodermus,unknown,norte,1
Agaricus xanthodermus,unknown,sul,3
Agaricus xanthodermus,winter,norte,16
Agaricus xanthodermus,winter,sul,37
Aleuria aurantia,winter,norte,1
Amanita,autumn,norte,806
Amanita,autumn,sul,421
Amanita,spring,norte,79
Amanita,spring,sul,59
